# 2023-01-10T14:05:24+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.265
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.188
# FWHM Valid: TRUE
# FIT MSE: 3.407087568636E-7
# Amplitude: 0.094469
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.734820108444E+0	5.529464362898E-3	5.457068591844E-3
-2.734483384991E+0	4.769690633645E-3	5.457068591844E-3
-2.734196904676E+0	4.980738891770E-3	5.457068591844E-3
-2.733863066339E+0	5.360625756397E-3	5.457068591844E-3
-2.733491870588E+0	5.993770530775E-3	5.457068591844E-3
-2.733189296822E+0	5.022948543396E-3	5.457068591844E-3
-2.732832404447E+0	5.318416104772E-3	5.457068591844E-3
-2.732509426550E+0	4.432013420643E-3	5.457068591844E-3
-2.732160727133E+0	5.571674014523E-3	5.457068591844E-3
-2.731788613010E+0	4.474223072268E-3	5.457068591844E-3
-2.731474203638E+0	4.474223072268E-3	5.457068591844E-3
-2.731093510399E+0	5.065158195021E-3	5.457068591844E-3
-2.730741643757E+0	5.867141575899E-3	5.457068591844E-3
-2.730409453276E+0	5.318416104772E-3	5.457068591844E-3
-2.730039486987E+0	5.191787149896E-3	5.457068591844E-3
-2.729715636689E+0	4.009916904391E-3	5.457068591844E-3
-2.729354886359E+0	5.445045059647E-3	5.457068591844E-3
-2.728989711176E+0	4.727480982019E-3	5.457068591844E-3
-2.728639531029E+0	4.980738891770E-3	5.457068591844E-3
-2.728277520862E+0	4.600852027144E-3	5.457068591844E-3
-2.727909700195E+0	4.347594117393E-3	5.457068591844E-3
-2.727564197100E+0	4.263174814142E-3	5.457068591844E-3
-2.727178749299E+0	5.529464362898E-3	5.457068591844E-3
-2.726846428120E+0	3.883287949516E-3	5.457068591844E-3
-2.726478941703E+0	5.233996801521E-3	5.457068591844E-3
-2.726073683552E+0	5.149577498271E-3	5.457068591844E-3
-2.725744941942E+0	5.360625756397E-3	5.457068591844E-3
-2.725364285131E+0	5.107367846646E-3	5.457068591844E-3
-2.724967780552E+0	5.909351227524E-3	5.457068591844E-3
-2.724615120067E+0	5.360625756397E-3	5.457068591844E-3
-2.724225360536E+0	5.445045059647E-3	5.457068591844E-3
-2.723881246231E+0	5.022948543396E-3	5.457068591844E-3
-2.723485558306E+0	4.516432723893E-3	5.457068591844E-3
-2.723073781703E+0	4.811900285270E-3	5.457068591844E-3
-2.722736236359E+0	5.149577498271E-3	5.457068591844E-3
-2.722335096858E+0	5.149577498271E-3	5.457068591844E-3
-2.721934769356E+0	5.065158195021E-3	5.457068591844E-3
-2.721554460761E+0	5.149577498271E-3	5.457068591844E-3
-2.721140861379E+0	4.896319588520E-3	5.457068591844E-3
-2.720765489834E+0	6.204818788900E-3	5.457068591844E-3
-2.720366807744E+0	5.149577498271E-3	5.457068591844E-3
-2.719959094742E+0	5.233996801521E-3	5.457068591844E-3
-2.719602063639E+0	5.065158195021E-3	5.457068591844E-3
-2.719179233401E+0	4.220965162517E-3	5.457068591844E-3
-2.718766714163E+0	4.474223072268E-3	5.457068591844E-3
-2.718407002661E+0	5.276206453147E-3	5.457068591844E-3
-2.717986032327E+0	4.980738891770E-3	5.457068591844E-3
-2.717594613070E+0	5.529464362898E-3	5.457068591844E-3
-2.717189791352E+0	5.149577498271E-3	5.457068591844E-3
-2.716761527577E+0	5.233996801521E-3	5.457068591844E-3
-2.716393170622E+0	5.613883666148E-3	5.457068591844E-3
-2.715978123096E+0	5.698302969398E-3	5.457068591844E-3
-2.715557186513E+0	5.360625756397E-3	5.457068591844E-3
-2.715170225510E+0	4.854109936895E-3	5.457068591844E-3
-2.714722220400E+0	5.867141575899E-3	5.457068591844E-3
-2.714329672584E+0	4.432013420643E-3	5.457068591844E-3
-2.713909378664E+0	4.389803769018E-3	5.457068591844E-3
-2.713472644591E+0	5.191787149896E-3	5.457068591844E-3
-2.713081610443E+0	4.263174814142E-3	5.457068591844E-3
-2.712639088798E+0	5.022948543396E-3	5.457068591844E-3
-2.712213748545E+0	4.600852027144E-3	5.457068591844E-3
-2.711784333750E+0	6.120399485650E-3	5.457068591844E-3
-2.711345755368E+0	6.458076698651E-3	5.457068591844E-3
-2.710918540663E+0	4.769690633645E-3	5.457068591844E-3
-2.710482444597E+0	4.558642375519E-3	5.457068591844E-3
-2.710029736715E+0	4.980738891770E-3	5.457068591844E-3
-2.709634848220E+0	5.065158195021E-3	5.457068591844E-3
-2.709195084252E+0	5.445045059647E-3	5.457068591844E-3
-2.708720289467E+0	5.360625756397E-3	5.457068591844E-3
-2.708291535025E+0	5.107367846646E-3	5.457068591844E-3
-2.707842028818E+0	5.571674014523E-3	5.457068591844E-3
-2.707419237917E+0	4.685271330394E-3	5.457068591844E-3
-2.706985060994E+0	4.854109936895E-3	5.457068591844E-3
-2.706513676209E+0	5.022948543396E-3	5.457068591844E-3
-2.706120909944E+0	4.643061678769E-3	5.457068591844E-3
-2.705645710963E+0	5.107367846646E-3	5.457068591844E-3
-2.705178686671E+0	4.896319588520E-3	5.457068591844E-3
-2.704760195162E+0	4.643061678769E-3	5.457068591844E-3
-2.704273327119E+0	5.318416104772E-3	5.457068591844E-3
-2.703843901384E+0	5.065158195021E-3	5.457068591844E-3
-2.703384510019E+0	4.938529240145E-3	5.457068591844E-3
-2.702889736364E+0	3.925497601141E-3	5.457068591844E-3
-2.702466941855E+0	4.685271330394E-3	5.457068591844E-3
-2.701997985152E+0	4.980738891770E-3	5.457068591844E-3
-2.701520593415E+0	4.516432723893E-3	5.457068591844E-3
-2.701084072670E+0	4.727480982019E-3	5.457068591844E-3
-2.700586564265E+0	5.022948543396E-3	5.457068591844E-3
-2.700127740497E+0	5.149577498271E-3	5.457068591844E-3
-2.699652762294E+0	4.600852027144E-3	5.457068591844E-3
-2.699159098809E+0	5.318416104772E-3	5.457068591844E-3
-2.698725327012E+0	4.432013420643E-3	5.457068591844E-3
-2.698235141028E+0	5.613883666148E-3	5.457068591844E-3
-2.697726858655E+0	5.529464362898E-3	5.457068591844E-3
-2.697266889685E+0	4.347594117393E-3	5.457068591844E-3
-2.696769430044E+0	5.149577498271E-3	5.457068591844E-3
-2.696303425609E+0	4.854109936895E-3	5.457068591844E-3
-2.695811874228E+0	5.149577498271E-3	5.457068591844E-3
-2.695301424586E+0	4.938529240145E-3	5.457068591844E-3
-2.694867179579E+0	5.107367846646E-3	5.457068591844E-3
-2.694369804199E+0	5.993770530775E-3	5.457068591844E-3
-2.693856683468E+0	4.769690633645E-3	5.457068591844E-3
-2.693389070630E+0	4.178755510892E-3	5.457068591844E-3
-2.692881525306E+0	6.289238092151E-3	5.457068591844E-3
-2.692412644251E+0	6.120399485650E-3	5.457068591844E-3
-2.691894697731E+0	5.445045059647E-3	5.457068591844E-3
-2.691376895758E+0	5.824931924274E-3	5.457068591844E-3
-2.690921669364E+0	5.318416104772E-3	5.457068591844E-3
-2.690410091046E+0	4.052126556017E-3	5.457068591844E-3
-2.689889789066E+0	4.685271330394E-3	5.457068591844E-3
-2.689431902640E+0	4.347594117393E-3	5.457068591844E-3
-2.688896288484E+0	5.318416104772E-3	5.457068591844E-3
-2.688403869590E+0	4.474223072268E-3	5.457068591844E-3
-2.687907419797E+0	4.474223072268E-3	5.457068591844E-3
-2.687366474520E+0	5.824931924274E-3	5.457068591844E-3
-2.686883149617E+0	4.600852027144E-3	5.457068591844E-3
-2.686364793897E+0	5.445045059647E-3	5.457068591844E-3
-2.685840003869E+0	5.233996801521E-3	5.457068591844E-3
-2.685362596187E+0	4.558642375519E-3	5.457068591844E-3
-2.684811479104E+0	5.445045059647E-3	5.457068591844E-3
-2.684294529630E+0	5.233996801521E-3	5.457068591844E-3
-2.683778517266E+0	5.318416104772E-3	5.457068591844E-3
-2.683222633516E+0	4.980738891770E-3	5.457068591844E-3
-2.682736466908E+0	4.347594117393E-3	5.457068591844E-3
-2.682185057472E+0	5.571674014523E-3	5.457068591844E-3
-2.681638740806E+0	4.516432723893E-3	5.457068591844E-3
-2.681114069023E+0	4.811900285270E-3	5.457068591844E-3
-2.680565887681E+0	4.896319588520E-3	5.457068591844E-3
-2.680047016504E+0	4.347594117393E-3	5.457068591844E-3
-2.679521245490E+0	4.896319588520E-3	5.457068591844E-3
-2.678958001845E+0	5.824931924274E-3	5.457068591844E-3
-2.678452661963E+0	5.867141575899E-3	5.457068591844E-3
-2.677895494168E+0	5.951560879149E-3	5.457068591844E-3
-2.677310757169E+0	5.318416104772E-3	5.457068591844E-3
-2.676795530735E+0	4.643061678769E-3	5.457068591844E-3
-2.676228269225E+0	5.445045059647E-3	5.457068591844E-3
-2.675682902820E+0	5.022948543396E-3	5.457068591844E-3
-2.675138385656E+0	5.445045059647E-3	5.457068591844E-3
-2.674561625146E+0	5.149577498271E-3	5.457068591844E-3
-2.674054183751E+0	4.811900285270E-3	5.457068591844E-3
-2.673492821773E+0	5.529464362898E-3	5.457068591844E-3
-2.672908690428E+0	5.740512621024E-3	5.457068591844E-3
-2.672377080518E+0	4.938529240145E-3	5.457068591844E-3
-2.671815596339E+0	5.487254711272E-3	5.457068591844E-3
-2.671236818227E+0	4.389803769018E-3	5.457068591844E-3
-2.670672317653E+0	4.685271330394E-3	5.457068591844E-3
-2.670084188229E+0	5.613883666148E-3	5.457068591844E-3
-2.669526625432E+0	5.318416104772E-3	5.457068591844E-3
-2.668962198877E+0	5.867141575899E-3	5.457068591844E-3
-2.668377926011E+0	5.951560879149E-3	5.457068591844E-3
-2.667832479186E+0	4.980738891770E-3	5.457068591844E-3
-2.667256995156E+0	5.191787149896E-3	5.457068591844E-3
-2.666691928616E+0	4.811900285270E-3	5.457068591844E-3
-2.666104557655E+0	5.824931924274E-3	5.457068591844E-3
-2.665524174864E+0	5.022948543396E-3	5.457068591844E-3
-2.664979306342E+0	5.445045059647E-3	5.457068591844E-3
-2.664389635087E+0	4.811900285270E-3	5.457068591844E-3
-2.663785746113E+0	5.487254711272E-3	5.457068591844E-3
-2.663218550942E+0	4.769690633645E-3	5.457068591844E-3
-2.662607493987E+0	5.867141575899E-3	5.457068591844E-3
-2.662009195666E+0	5.613883666148E-3	5.457068591844E-3
-2.661463181943E+0	5.233996801521E-3	5.457068591844E-3
-2.660829720944E+0	5.276206453147E-3	5.457068591844E-3
-2.660272466328E+0	4.474223072268E-3	5.457068591844E-3
-2.659673607277E+0	5.656093317773E-3	5.457068591844E-3
-2.659054218170E+0	5.445045059647E-3	5.457068591844E-3
-2.658497084591E+0	5.191787149896E-3	5.457068591844E-3
-2.657892988107E+0	4.811900285270E-3	5.457068591844E-3
-2.657303622471E+0	5.149577498271E-3	5.457068591844E-3
-2.656703282224E+0	5.233996801521E-3	5.457068591844E-3
-2.656080015494E+0	5.022948543396E-3	5.457068591844E-3
-2.655507678556E+0	4.938529240145E-3	5.457068591844E-3
-2.654883699915E+0	5.782722272649E-3	5.457068591844E-3
-2.654254729641E+0	5.487254711272E-3	5.457068591844E-3
-2.653690275736E+0	4.474223072268E-3	5.457068591844E-3
-2.653062321945E+0	5.571674014523E-3	5.457068591844E-3
-2.652420868513E+0	5.445045059647E-3	5.457068591844E-3
-2.651817736024E+0	4.178755510892E-3	5.457068591844E-3
-2.651172272875E+0	4.811900285270E-3	5.457068591844E-3
-2.650582088374E+0	4.938529240145E-3	5.457068591844E-3
-2.649952082531E+0	4.263174814142E-3	5.457068591844E-3
-2.649310810539E+0	4.980738891770E-3	5.457068591844E-3
-2.648725147138E+0	3.376772130014E-3	5.457068591844E-3
-2.648064204223E+0	5.402835408022E-3	5.457068591844E-3
-2.647434881776E+0	4.432013420643E-3	5.457068591844E-3
-2.646818482644E+0	3.672239691390E-3	5.457068591844E-3
-2.646166698312E+0	5.529464362898E-3	5.457068591844E-3
-2.645555930450E+0	5.065158195021E-3	5.457068591844E-3
-2.644910363373E+0	5.740512621024E-3	5.457068591844E-3
-2.644265088065E+0	6.035980182400E-3	5.457068591844E-3
-2.643679178981E+0	4.685271330394E-3	5.457068591844E-3
-2.643024758941E+0	4.727480982019E-3	5.457068591844E-3
-2.642378472853E+0	5.402835408022E-3	5.457068591844E-3
-2.641757077084E+0	5.740512621024E-3	5.457068591844E-3
-2.641089114691E+0	5.318416104772E-3	5.457068591844E-3
-2.640471865038E+0	4.558642375519E-3	5.457068591844E-3
-2.639824471690E+0	3.883287949516E-3	5.457068591844E-3
-2.639151298051E+0	4.727480982019E-3	5.457068591844E-3
-2.638530582419E+0	4.727480982019E-3	5.457068591844E-3
-2.637872184666E+0	5.698302969398E-3	5.457068591844E-3
-2.637214674561E+0	5.318416104772E-3	5.457068591844E-3
-2.636574701977E+0	5.698302969398E-3	5.457068591844E-3
-2.635895509747E+0	6.204818788900E-3	5.457068591844E-3
-2.635246171769E+0	5.149577498271E-3	5.457068591844E-3
-2.634585043922E+0	5.402835408022E-3	5.457068591844E-3
-2.633881404442E+0	5.698302969398E-3	5.457068591844E-3
-2.633256752414E+0	4.432013420643E-3	5.457068591844E-3
-2.632568881562E+0	5.233996801521E-3	5.457068591844E-3
-2.631886169817E+0	6.035980182400E-3	5.457068591844E-3
-2.631251193638E+0	5.445045059647E-3	5.457068591844E-3
-2.630554900437E+0	5.909351227524E-3	5.457068591844E-3
-2.629927389829E+0	4.727480982019E-3	5.457068591844E-3
-2.629259968264E+0	5.402835408022E-3	5.457068591844E-3
-2.628539147509E+0	5.824931924274E-3	5.457068591844E-3
-2.627897782062E+0	4.094336207642E-3	5.457068591844E-3
-2.627200201441E+0	4.811900285270E-3	5.457068591844E-3
-2.626508033641E+0	4.896319588520E-3	5.457068591844E-3
-2.625849758788E+0	4.854109936895E-3	5.457068591844E-3
-2.625158418930E+0	5.909351227524E-3	5.457068591844E-3
-2.624481894297E+0	5.318416104772E-3	5.457068591844E-3
-2.623805887216E+0	4.854109936895E-3	5.457068591844E-3
-2.623074129325E+0	5.022948543396E-3	5.457068591844E-3
-2.622430832865E+0	5.233996801521E-3	5.457068591844E-3
-2.621728878250E+0	5.571674014523E-3	5.457068591844E-3
-2.621027614597E+0	3.883287949516E-3	5.457068591844E-3
-2.620355416706E+0	3.672239691390E-3	5.457068591844E-3
-2.619621822653E+0	5.149577498271E-3	5.457068591844E-3
-2.618952711218E+0	4.347594117393E-3	5.457068591844E-3
-2.618253508462E+0	4.727480982019E-3	5.457068591844E-3
-2.617502811226E+0	5.993770530775E-3	5.457068591844E-3
-2.616840720898E+0	4.938529240145E-3	5.457068591844E-3
-2.616136876586E+0	4.938529240145E-3	5.457068591844E-3
-2.615412670388E+0	4.558642375519E-3	5.457068591844E-3
-2.614728815537E+0	4.094336207642E-3	5.457068591844E-3
-2.613999914131E+0	5.529464362898E-3	5.457068591844E-3
-2.613310124485E+0	5.402835408022E-3	5.457068591844E-3
-2.612595036370E+0	5.022948543396E-3	5.457068591844E-3
-2.611849421662E+0	4.854109936895E-3	5.457068591844E-3
-2.611168783616E+0	4.811900285270E-3	5.457068591844E-3
-2.610444222685E+0	5.909351227524E-3	5.457068591844E-3
-2.609708601021E+0	4.896319588520E-3	5.457068591844E-3
-2.609002123677E+0	4.769690633645E-3	5.457068591844E-3
-2.608255915187E+0	5.740512621024E-3	5.457068591844E-3
-2.607536921283E+0	5.276206453147E-3	5.457068591844E-3
-2.606797718538E+0	4.727480982019E-3	5.457068591844E-3
-2.606052009910E+0	5.740512621024E-3	5.457068591844E-3
-2.605364103212E+0	4.558642375519E-3	5.457068591844E-3
-2.604615003438E+0	4.938529240145E-3	5.457068591844E-3
-2.603854678832E+0	5.233996801521E-3	5.457068591844E-3
-2.603149962817E+0	5.191787149896E-3	5.457068591844E-3
-2.602384618762E+0	4.811900285270E-3	5.457068591844E-3
-2.601648877573E+0	4.896319588520E-3	5.457068591844E-3
-2.600911489692E+0	5.867141575899E-3	5.457068591844E-3
-2.600146026345E+0	5.065158195021E-3	5.457068591844E-3
-2.599447543878E+0	4.347594117393E-3	5.457068591844E-3
-2.598685710492E+0	4.220965162517E-3	5.457068591844E-3
-2.597931958107E+0	4.136545859267E-3	5.457068591844E-3
-2.597214698764E+0	5.782722272649E-3	5.457068591844E-3
